start,end,duration_min,grams,rate_g_per_min
2025-07-18 12:48:00+02:00,2025-07-18 12:57:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-18 13:18:00+02:00,2025-07-18 13:27:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-18 17:48:00+02:00,2025-07-18 17:57:00+02:00,10,706.8583470577034,70.68583470577035
2025-07-18 18:18:00+02:00,2025-07-18 18:27:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-18 19:48:00+02:00,2025-07-18 19:57:00+02:00,10,424.11500823462205,42.411500823462205
2025-07-18 20:18:00+02:00,2025-07-18 20:27:00+02:00,10,1060.2875205865553,106.02875205865553
2025-07-18 20:48:00+02:00,2025-07-18 20:57:00+02:00,10,1130.9733552923256,113.09733552923255
2025-07-18 22:18:00+02:00,2025-07-18 22:27:00+02:00,10,636.1725123519332,63.617251235193315
2025-07-18 22:48:00+02:00,2025-07-18 22:57:00+02:00,10,636.1725123519332,63.617251235193315
2025-07-19 02:18:00+02:00,2025-07-19 02:27:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-19 02:48:00+02:00,2025-07-19 02:57:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-19 03:18:00+02:00,2025-07-19 03:27:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-19 06:19:00+02:00,2025-07-19 06:28:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-19 06:49:00+02:00,2025-07-19 06:58:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-19 07:19:00+02:00,2025-07-19 07:28:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-19 07:49:00+02:00,2025-07-19 07:58:00+02:00,10,212.05750411731103,21.205750411731103
2025-07-19 08:19:00+02:00,2025-07-19 08:28:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-19 09:19:00+02:00,2025-07-19 09:28:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-19 09:49:00+02:00,2025-07-19 09:58:00+02:00,10,706.8583470577034,70.68583470577035
2025-07-19 11:49:00+02:00,2025-07-19 11:58:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-19 12:19:00+02:00,2025-07-19 12:28:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-19 12:49:00+02:00,2025-07-19 12:58:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-19 13:49:00+02:00,2025-07-19 13:58:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-19 14:49:00+02:00,2025-07-19 14:58:00+02:00,10,212.05750411731103,21.205750411731103
2025-07-19 15:19:00+02:00,2025-07-19 15:28:00+02:00,10,212.05750411731103,21.205750411731103
2025-07-19 15:49:00+02:00,2025-07-19 15:58:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-19 17:49:00+02:00,2025-07-19 17:58:00+02:00,10,777.5441817634738,77.75441817634739
2025-07-19 18:19:00+02:00,2025-07-19 18:28:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-19 18:49:00+02:00,2025-07-19 18:58:00+02:00,10,1484.4025288211774,148.44025288211773
2025-07-19 19:19:00+02:00,2025-07-19 19:28:00+02:00,10,565.4866776461628,56.548667764616276
2025-07-19 19:49:00+02:00,2025-07-19 19:58:00+02:00,10,565.4866776461628,56.548667764616276
2025-07-19 20:19:00+02:00,2025-07-19 20:28:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-19 20:49:00+02:00,2025-07-19 20:58:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-19 21:19:00+02:00,2025-07-19 21:28:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-19 21:49:00+02:00,2025-07-19 21:58:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-19 22:19:00+02:00,2025-07-19 22:28:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-19 23:19:00+02:00,2025-07-19 23:28:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-20 00:49:00+02:00,2025-07-20 00:58:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-20 01:20:00+02:00,2025-07-20 01:29:00+02:00,10,70.68583470577035,7.0685834705770345
2025-07-20 01:50:00+02:00,2025-07-20 01:59:00+02:00,10,1767.1458676442585,176.71458676442586
2025-07-20 02:20:00+02:00,2025-07-20 02:29:00+02:00,10,282.7433388230814,28.274333882308138
2025-07-20 04:20:00+02:00,2025-07-20 04:29:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-20 06:20:00+02:00,2025-07-20 06:29:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-20 06:50:00+02:00,2025-07-20 06:59:00+02:00,10,706.8583470577034,70.68583470577035
2025-07-20 08:20:00+02:00,2025-07-20 08:29:00+02:00,10,565.4866776461628,56.548667764616276
2025-07-20 09:20:00+02:00,2025-07-20 09:29:00+02:00,10,706.8583470577034,70.68583470577035
2025-07-20 09:50:00+02:00,2025-07-20 09:59:00+02:00,10,141.3716694115407,14.137166941154069
2025-07-20 11:50:00+02:00,2025-07-20 11:59:00+02:00,10,353.4291735288517,35.34291735288517
2025-07-20 12:20:00+02:00,2025-07-20 12:29:00+02:00,10,565.4866776461628,56.548667764616276
2025-07-20 12:50:00+02:00,2025-07-20 12:59:00+02:00,10,141.3716694115407,14.137166941154069
